192.168.72.135 : [0], timed out (NaN avg, 100% loss)
192.168.72.135 : [77], 64 bytes, 32.5 ms (30.4 avg, 6% loss)
192.168.72.135 : [78], 64 bytes, 22.0 ms (30.3 avg, 6% loss)
192.168.72.135 : [79], 64 bytes, 17.6 ms (30.2 avg, 6% loss)
192.168.72.135 : [80], 64 bytes, 25.9 ms (30.1 avg, 6% loss)
192.168.72.135 : [81], 64 bytes, 18.2 ms (30.0 avg, 6% loss)
192.168.72.135 : [82], 64 bytes, 44.8 ms (30.1 avg, 6% loss)
192.168.72.135 : [83], 64 bytes, 31.3 ms (30.2 avg, 5% loss)
192.168.72.135 : [84], 64 bytes, 23.6 ms (30.1 avg, 5% loss)
192.168.72.135 : [85], 64 bytes, 20.3 ms (30.0 avg, 5% loss)
192.168.72.135 : [86], 64 bytes, 47.8 ms (30.2 avg, 5% loss)
192.168.72.135 : [87], 64 bytes, 28.9 ms (30.2 avg, 5% loss)
192.168.72.135 : [88], 64 bytes, 23.3 ms (30.1 avg, 5% loss)
192.168.72.135 : [89], 64 bytes, 16.2 ms (29.9 avg, 5% loss)
192.168.72.135 : [90], 64 bytes, 36.7 ms (30.0 avg, 5% loss)
192.168.72.135 : [91], 64 bytes, 21.6 ms (29.9 avg, 5% loss)
192.168.72.135 : [92], 64 bytes, 35.0 ms (30.0 avg, 5% loss)
192.168.72.135 : [93], 64 bytes, 20.2 ms (29.8 avg, 5% loss)
192.168.72.135 : [94], 64 bytes, 18.0 ms (29.7 avg, 5% loss)
192.168.72.135 : [95], 64 bytes, 41.1 ms (29.8 avg, 5% loss)
192.168.72.135 : [96], 64 bytes, 32.9 ms (29.9 avg, 5% loss)
192.168.72.135 : [97], 64 bytes, 27.2 ms (29.8 avg, 5% loss)
192.168.72.135 : [98], 64 bytes, 21.9 ms (29.8 avg, 5% loss)
192.168.72.135 : [99], 64 bytes, 36.6 ms (29.8 avg, 5% loss)
192.168.72.135 : [100], 64 bytes, 26.8 ms (29.8 avg, 4% loss)
192.168.72.135 : [101], 64 bytes, 20.2 ms (29.7 avg, 4% loss)
192.168.72.135 : [102], 64 bytes, 29.7 ms (29.7 avg, 4% loss)
192.168.72.135 : [103], 64 bytes, 51.9 ms (29.9 avg, 4% loss)
192.168.72.135 : [104], 64 bytes, 36.3 ms (30.0 avg, 4% loss)
192.168.72.135 : [105], 64 bytes, 23.7 ms (29.9 avg, 4% loss)
192.168.72.135 : [106], 64 bytes, 20.7 ms (29.8 avg, 4% loss)
192.168.72.135 : [107], 64 bytes, 51.4 ms (30.0 avg, 4% loss)
192.168.72.135 : [108], 64 bytes, 43.8 ms (30.2 avg, 4% loss)
192.168.72.135 : [109], 64 bytes, 20.3 ms (30.1 avg, 4% loss)
192.168.72.135 : [110], 64 bytes, 22.5 ms (30.0 avg, 4% loss)
192.168.72.135 : [111], timed out (30.0 avg, 5% loss)
192.168.72.135 : [112], 64 bytes, 50.7 ms (30.2 avg, 5% loss)
192.168.72.135 : [113], 64 bytes, 37.2 ms (30.3 avg, 5% loss)
192.168.72.135 : [114], 64 bytes, 23.3 ms (30.2 avg, 5% loss)
192.168.72.135 : [115], 64 bytes, 19.3 ms (30.1 avg, 5% loss)
192.168.72.135 : [116], 64 bytes, 17.7 ms (30.0 avg, 5% loss)
192.168.72.135 : [117], 64 bytes, 28.9 ms (30.0 avg, 5% loss)
192.168.72.135 : [118], 64 bytes, 20.1 ms (29.9 avg, 5% loss)
192.168.72.135 : [119], 64 bytes, 38.3 ms (30.0 avg, 5% loss)
192.168.72.135 : [120], 64 bytes, 29.3 ms (30.0 avg, 4% loss)
192.168.72.135 : [121], 64 bytes, 25.7 ms (29.9 avg, 4% loss)
192.168.72.135 : [122], 64 bytes, 24.1 ms (29.9 avg, 4% loss)
192.168.72.135 : [123], 64 bytes, 46.4 ms (30.0 avg, 4% loss)
192.168.72.135 : [124], 64 bytes, 30.9 ms (30.0 avg, 4% loss)
192.168.72.135 : [125], 64 bytes, 19.9 ms (29.9 avg, 4% loss)
192.168.72.135 : [126], 64 bytes, 23.6 ms (29.9 avg, 4% loss)
192.168.72.135 : [127], 64 bytes, 18.4 ms (29.8 avg, 4% loss)
192.168.72.135 : [128], 64 bytes, 37.5 ms (29.9 avg, 4% loss)
192.168.72.135 : [129], 64 bytes, 22.9 ms (29.8 avg, 4% loss)
192.168.72.135 : [130], 64 bytes, 47.5 ms (29.9 avg, 4% loss)
192.168.72.135 : [131], 64 bytes, 31.8 ms (30.0 avg, 4% loss)
192.168.72.135 : [132], 64 bytes, 24.1 ms (29.9 avg, 4% loss)
192.168.72.135 : [133], 64 bytes, 20.7 ms (29.8 avg, 4% loss)
192.168.72.135 : [134], 64 bytes, 18.9 ms (29.8 avg, 4% loss)
192.168.72.135 : [135], 64 bytes, 18.8 ms (29.7 avg, 4% loss)
192.168.72.135 : [136], 64 bytes, 21.5 ms (29.6 avg, 4% loss)
192.168.72.135 : [137], 64 bytes, 18.2 ms (29.5 avg, 4% loss)
192.168.72.135 : [138], 64 bytes, 36.5 ms (29.6 avg, 4% loss)
192.168.72.135 : [139], 64 bytes, 24.3 ms (29.5 avg, 4% loss)
192.168.72.135 : [140], 64 bytes, 21.1 ms (29.5 avg, 4% loss)
192.168.72.135 : [141], 64 bytes, 38.4 ms (29.5 avg, 4% loss)
192.168.72.135 : [142], 64 bytes, 20.7 ms (29.5 avg, 4% loss)
192.168.72.135 : [143], 64 bytes, 33.5 ms (29.5 avg, 4% loss)
192.168.72.135 : [144], 64 bytes, 19.5 ms (29.4 avg, 4% loss)
192.168.72.135 : [145], 64 bytes, 50.5 ms (29.6 avg, 4% loss)
192.168.72.135 : [146], 64 bytes, 35.5 ms (29.6 avg, 4% loss)
192.168.72.135 : [147], 64 bytes, 21.6 ms (29.6 avg, 4% loss)
192.168.72.135 : [148], 64 bytes, 19.7 ms (29.5 avg, 4% loss)
192.168.72.135 : [149], 64 bytes, 21.7 ms (29.4 avg, 4% loss)
192.168.72.135 : [150], 64 bytes, 23.7 ms (29.4 avg, 3% loss)
192.168.72.135 : [151], 64 bytes, 40.9 ms (29.5 avg, 3% loss)
192.168.72.135 : [152], 64 bytes, 23.2 ms (29.4 avg, 3% loss)
192.168.72.135 : [153], 64 bytes, 48.2 ms (29.6 avg, 3% loss)
192.168.72.135 : [154], 64 bytes, 34.6 ms (29.6 avg, 3% loss)
192.168.72.135 : [155], 64 bytes, 28.5 ms (29.6 avg, 3% loss)
192.168.72.135 : [156], 64 bytes, 21.5 ms (29.5 avg, 3% loss)
192.168.72.135 : [157], 64 bytes, 38.1 ms (29.6 avg, 3% loss)
192.168.72.135 : [158], 64 bytes, 25.9 ms (29.6 avg, 3% loss)
192.168.72.135 : [159], 64 bytes, 40.9 ms (29.6 avg, 3% loss)
192.168.72.135 : [160], 64 bytes, 29.9 ms (29.6 avg, 3% loss)
192.168.72.135 : [161], 64 bytes, 38.0 ms (29.7 avg, 3% loss)
192.168.72.135 : [162], 64 bytes, 27.9 ms (29.7 avg, 3% loss)
192.168.72.135 : [163], 64 bytes, 39.6 ms (29.8 avg, 3% loss)
192.168.72.135 : [164], 64 bytes, 36.8 ms (29.8 avg, 3% loss)
192.168.72.135 : [165], 64 bytes, 22.7 ms (29.8 avg, 3% loss)
192.168.72.135 : [166], 64 bytes, 18.9 ms (29.7 avg, 3% loss)
192.168.72.135 : [167], 64 bytes, 39.7 ms (29.7 avg, 3% loss)
192.168.72.135 : [168], 64 bytes, 24.6 ms (29.7 avg, 3% loss)
192.168.72.135 : [169], 64 bytes, 38.6 ms (29.8 avg, 3% loss)
192.168.72.135 : [170], 64 bytes, 26.8 ms (29.8 avg, 3% loss)
192.168.72.135 : [171], 64 bytes, 40.4 ms (29.8 avg, 3% loss)
192.168.72.135 : [172], 64 bytes, 27.0 ms (29.8 avg, 3% loss)
192.168.72.135 : [173], 64 bytes, 43.1 ms (29.9 avg, 3% loss)
192.168.72.135 : [174], 64 bytes, 30.0 ms (29.9 avg, 3% loss)
192.168.72.135 : [175], 64 bytes, 18.2 ms (29.8 avg, 3% loss)
192.168.72.135 : [176], 64 bytes, 35.6 ms (29.8 avg, 3% loss)
192.168.72.135 : [177], 64 bytes, 19.4 ms (29.8 avg, 3% loss)
192.168.72.135 : [178], 64 bytes, 45.0 ms (29.9 avg, 3% loss)
192.168.72.135 : [179], 64 bytes, 34.9 ms (29.9 avg, 3% loss)

192.168.72.135 : xmt/rcv/%loss = 180/174/3%, min/avg/max = 16.2/29.9/51.9

       1 targets
       1 alive
       0 unreachable
       0 unknown addresses

       6 timeouts (waiting for response)
     180 ICMP Echos sent
     180 ICMP Echo Replies received
       0 other ICMP received

 16.2 ms (min round trip time)
 29.9 ms (avg round trip time)
 51.9 ms (max round trip time)
        9.881 sec (elapsed real time)

